Unnamed: 0,winery,country,points,description,designation
1576,Greyscale,US,91,"Kian Tavakoli is the winemaker for this small-production Cabernet Sauvignon with some Merlot, Petit Verdot and Cabernet Franc. A brambly, full-bodied wine, it's concentrated in black fruit with a spicy streak of clove.",
1577,Hovey,US,91,"Bold and effusive in flavor, this full-bodied red gives ripe, concentrated, focused fruit flavors that recall boysenberry and blackberry. Tannins create that grippy, dry sensation that tames big slabs of meat. An attractive take on a traditional Spanish grape variety; drink now.",Rolleri Cuvée
1578,Lapostolle,Chile,91,"From a warm vintage, this blend is ripe yet still balanced, with aromas of prune, blackberry, tree bark and leather. The palate is saturated and broad, boasting flavors of dark, baked, black fruit accented by pepper and chocolate on the finish. Drink now.",Canto de Apalta Cellar Selection
1579,Martin Lane Winery,US,91,"Still tight and young, this tastes like a keeper that will improve with time. Aged in all new American barrels, it shows aromas of coriander, cumin and smoke, with flavors like black cherry and black pepper. It balances well between firm tannins, good acidity and full flavors, and everything sails through the finish. Best after 2018.",Estate
1580,Campolargo,Portugal,91,"Merlot and Syrah join Tinta Roriz in this impressive wine. A fermentation in open lagars as well as time in oak give this blend richness and a deliciously juicy. Ripe and full bodied, it is ready to drink.",Vinha da Costa
1582,Château Suduiraut,France,91,"Made from young vines, this is the second wine of Suduiraut. It has young, honeyed character, with a ripe, opulent texture that lays bitter orange fruits over drier noble rot flavors. It is so delicious now, but will be better from 2017.",Castelnau de Suduiraut
1583,Talley,US,91,"A sharp brine character gets warmer boosts from underlying pear, nectarine and buttered sourdough aromas. Flavors are light and bright at first, with sandy clay, vanilla cookie and custard strudel emerging on the midpalate and a line of acidity down through the finish.",
1585,Prim Family,US,91,"Similar in style and aging potential to the winery's 2009, and blended with amounts of Malbec and Petit Verdot, this Cabernet Sauvignon from mighty Howell Mountain is rich in spicy blackberry and clove, the tannins soft and juicy.",
1586,Quinta de la Rosa,Portugal,91,"This is a smooth and generous wine. It is rich, full-bodied and packed with dark plum flavor, but it's the ripe, velvet character that is so appealing. It's almost ready to drink, although the firm tannins and minerality at the end suggest it will be better from 2016.",
1587,Castoro Cellars,US,91,"A solid wine for the price, this begins with honeydew and lime aromas. Flavors start with a spicy cinnamon apple before diving into buttered squash, melon and fresh lime, with a dash of salt.",Estate
1588,Caves Aliança,Portugal,91,"From the eastern vineyards of the Douro, in Douro Superior, this estate wine is heavily structured while showing rich fruit and impressive tannins. The texture is strongly mineral, complex and hinting at the concentration from fruit grown in this hot, dry climate. Drink from 2016.",Quinta dos Quatro Ventos
1589,Domaine Rieflé-Landmann,France,91,"Perfumed and off dry, this rich wine has spice, structure and a floral character. It is so young with its white fruits, hint of lychee and lime-juice acidity. The wine needs to age to reveal its potential. Drink from 2018.",Seppi Landmann Zinnkoeplé Grand Cru
1590,14 Hands,US,87,The new American oak barrel fermentation and aging steals the show on this wine. Notes of vanilla and woodspice overpower the variety's melon and apple aromas and flavors. There are some good things going on but it's hard to get at them.,The Reserve
1591,14 Hands,US,87,This 100% varietal wine offers generous aromatic notes of guava and pink grapefruit. Flavors are lighter in style with the concentration a bit wanting but it finishes well.,The Reserve
1592,Boneshaker,US,87,"This rich, thick, concentrated wine offers big aromas, a velvety, tannic texture and ripe fruit flavors reminiscent of dried plums and blackberries. Full bodied, it shows a lot of oak influence in the strong vanilla and maple syrup aromas, as well as in the flavors.",Old Vine
1593,Cairdeas,US,87,"This multi-vintage blend of Syrah, Grenache, Mourvèdre and Petit Sirah offers notes of black and white pepper, sea salt, herbs and coffee. It's on the lighter side of medium bodied with a pillowy-soft texture and a spice-filled finish.",MV Trí3
1594,Campo al Mare,Italy,87,"This opens with a pretty floral fragrance of acacia, Spanish broom and chamomile. The palate doles out white peach and tangerine zest alongside fresh acidity.",
1595,Edna Valley Vineyard,US,87,"Straightforward oak and roasted pear aromas great the nose on this wine from one of the region's central and historic vineyards. Flavors are a little flat at first, but then apple flesh and pear skin bitterness emerge, with citrusy acidity.",Reserve
1596,Ferllen,Argentina,87,"Berry and plum aromas are spicy and saucy, with secondary notes of tomato and oregano. Snappy on the palate, this live-wire Malbec is a bit aggressive and acidic. Toasty oak and mint flavors accent fresh red-berry fruit prior to an energetic yet woody finish that's raw feeling but fair.",Reserve
1597,Shooting Star,US,87,"Hailing from 1970s plantings, this wine is directly appealing with aromas of corn silk, candy corn, caramel and spice. The palate is sleek in style with plump peach flavors. Try it with crab.",
1598,Tenuta di Sesta,Italy,87,"Aromas suggest mature black berry, savory herb and a balsamic note. The palate displays baked plum, black pepper and anisette alongside bracing tannins.",Riserva
1599,Tenuta La Fuga,Italy,87,"This robust wine delivers aromas of spiced plum, stewed prune, vanilla and chocolate that carry through to the ripe, monolithic palate. Drink through 2020.",Due Sorelle Riserva
1600,Terre del Marchesato,Italy,87,"Underbrush, tobacco and spiced plum aromas lead the nose. On the straightforward palate, notes of anise and clove add depth to the black cherry core. It's easy drinking, with lithe tannins.",Emilio Primo
1601,Agostina Pieri,Italy,87,"Aromas suggest toast, mocha, vanilla, dark-skinned fruit and a whiff of burnt matches. The oak-driven spices carry over to the palate along with a licorice note but not much fruit richness. Astringent tannins provide the backbone.",
1602,Castelgiocondo,Italy,87,"This robust wine features aromas of stewed plum, damp hay and anisette. These carry over to the warm palate, along with dried fruit flavors and the heat of evident alcohol that throws it off balance.",Ripe al Convento Riserva
1603,Colombaio,Italy,87,"Aromas of pressed powder, blue flower and a whiff of plum waft from the glass. The palate offers dried red berry, sage and mint but not much fruit richness. Bracing, drying tannins leave an astringent finish.",
1604,Columbia Winery,US,87,"This lightly aromatic wine offers notes of pear, peach and spice. It's straight down the fairway with appealing stone fruit flavors and a lightly creamy feel.",
1605,Cuatro Vacas Gordas,Argentina,87,"Aromas of bath oil and exotic fruits like lychee and mango come in front of a short, simple palate that's fresh. Lychee and mango flavors finish in tropical style, with a mild soapy note. The wine is varietally correct and well done.",
1606,Flying Trout,US,87,"Made with 58% Malbec and 42% Syrah, this wine offers alluring aromas of thyme, dried herbs, raspberry and white pepper. It's elegant in style, supple in feel, providing a lot of easy-drinking pleasure.",Cutthroat Blend
1607,Patterson,US,87,"This blend of 41% Chardonnay, 26% Marsanne, 18% Roussanne and 15% Viognier shows notes of grilled sweet corn on the cob and Golden Delicious apple. It's broad in feel but seems to only have one trick to show.",Mélange Blanc
1608,Producta Vignobles,France,87,"This is well-balanced and ripe, with plenty of room for both the attractive black fruits and the firm tannic structure. Wood aging shows, although it will integrate well. The wine is fruity, likely to be ready to drink from 2016.",Château Courbian
1609,Protos,Spain,87,"Leesy aromas of pear and melon are friendly and fresh. This Verdejo is lean, citric and drawn on the palate, with lemon, white pineapple and green apple flavors. A tangy, tight, juicy, acidic palate ensures that this ends with crispness and snap.",
1610,Francis Ford Coppola,US,87,"The film director's sparkling ode to his director daughter delivers aromas of apple blossoms, pear cider and chalk. An apparent sweetness on the palate is cut with a pithy grip, the apple-juice base leveled with ample lime elements.",Sofia Blanc de Blancs
1611,Gainey,US,87,"Aromas of ripe red cherries, licorice and vanilla extract emerge from this wine by the longtime estate across from the township of Santa Ynez. Blackberry and blueberry fruits power the palate, but there's a black dirt earthiness and some meatiness too. Tannins are still quite strong.",
1612,Genoa,US,87,"This blend of 50% Viognier, 19% Chardonnay, 19% Sauvignon Blanc and 12% Pinot Gris offers notes of pear and flowers. It's broad and creamy in feel with stone fruit flavors on the finish.",Springline Super Tuscan-style
1613,Graton Ridge,US,87,"Softly layered red and black berries belie this wine's concentration and force, which is substantial, a backing of powerful leathery tannins at its core. On the nose, there's black peppercorn and an herbal element.",Bacigalupi Vineyard
1614,Navarro,US,87,"This emphasizes freshness and a light touch, rather than the assertive flavors that this varietal can produce. It smells like rose petals, has a soft texture, rose petal and pear flavors, and delivers a light spritzy feeling on the tongue.",Estate Bottled
1615,Mercer,US,87,"A kitchen-sink blend of nine different varieties with Merlot (40%) and Syrah (25%) taking the lead, this wine brings an assortment of herbs, blue fruit and woodspice along with light volatile notes. It's full bodied and sweet with abundant cherry flavors backed by grainy tannins.",Sharp Sisters
